日期,换手率
1994-05-31,14.1808
1994-06-30,2.5322181818181817
1994-07-31,0.9540909090909092
1994-08-31,12.613318181818181
1994-09-30,10.811681818181818
1994-10-31,6.070636842105263
1994-11-30,2.9057
1994-12-31,1.605495652173913
1995-01-31,0.5265473684210527
1995-02-28,1.2144
1995-03-31,1.9274
1995-04-30,1.8511952380952383
1995-05-31,2.4971809523809525
1995-06-30,0.7421727272727273
1995-07-31,3.1327238095238092
1995-08-31,1.0494826086956521
1995-09-30,2.526468181818182
1995-10-31,1.4324473684210526
1995-11-30,1.00095
1995-12-31,0.3906318181818182
1996-01-31,0.2900619047619048
1996-02-29,0.22204615384615384
1996-03-31,0.35424
1996-04-30,2.750552380952381
1996-05-31,3.507213636363636
1996-06-30,6.167038095238095
1996-07-31,10.65380909090909
1996-08-31,3.6990347826086953
1996-09-30,7.198085000000001
1996-10-31,17.13494
1996-11-30,7.904554545454545
1996-12-31,5.200123809523809
1997-01-31,3.2263636363636365
1997-02-28,5.6973199999999995
1997-03-31,6.37342380952381
1997-04-30,4.657313636363636
1997-05-31,4.9473714285714285
1997-06-30,3.1008400000000003
1997-07-31,2.751861904761905
1997-08-31,4.861377272727273
1997-09-30,7.605609523809524
1997-10-31,3.2134
1997-11-30,2.0963809523809522
1997-12-31,1.7907045454545454
1998-01-31,6.61923125
1998-02-28,1.5645666666666667
1998-03-31,1.0674619047619047
1998-04-30,2.3835363636363636
1998-05-31,4.331195238095238
1998-06-30,1.892304761904762
1998-07-31,1.6805652173913044
1998-08-31,4.190571428571428
1998-09-30,5.312904545454545
1998-10-31,2.5258333333333334
1998-11-30,1.6193950000000001
1998-12-31,0.6394565217391304
1999-01-31,1.2511666666666668
1999-02-28,0.7628571428571428
1999-03-31,1.2503181818181819
1999-04-30,0.9491136363636362
1999-05-31,1.28098
1999-06-30,4.590122727272727
1999-07-31,3.701560869565218
1999-08-31,2.3309428571428574
1999-09-30,1.3257727272727273
1999-10-31,0.4661
1999-11-30,0.8726047619047619
1999-12-31,0.8484090909090909
2000-01-31,1.8816421052631578
2000-02-29,3.893163636363636
2000-03-31,4.0977695652173916
2000-04-30,6.832414285714286
2000-05-31,3.626376470588235
2000-06-30,3.257345454545455
2000-07-31,2.0723714285714285
2000-08-31,3.3195347826086956
2000-09-30,0.8146636363636364
2000-10-31,0.65248125
2000-11-30,1.3061090909090909
2000-12-31,1.199540909090909
2001-01-31,1.88275
2001-02-28,0.9468176470588235
2001-03-31,1.021295652173913
2001-04-30,1.5872499999999998
2001-05-31,2.1350555555555553
2001-06-30,2.437790909090909
2001-07-31,0.9923095238095238
2001-08-31,0.560095652173913
2001-09-30,0.4760761904761905
2001-10-31,0.6629941176470588
2001-11-30,0.4991863636363636
2001-12-31,1.0631238095238096
2002-01-31,1.369735
2002-02-28,2.4362000000000004
2002-03-31,3.452386363636364
2002-04-30,2.7447190476190477
2002-05-31,1.928938888888889
2002-06-30,1.1305904761904761
2002-07-31,0.7580136363636364
2002-08-31,0.28566086956521736
2002-09-30,0.35821000000000003
2002-10-31,0.36875294117647056
2002-11-30,0.4918681818181818
2002-12-31,0.4037190476190476
2003-01-31,0.922347619047619
2003-02-28,0.42945
2003-03-31,0.23756666666666668
2003-04-30,2.1401090909090907
2003-05-31,0.9534437499999999
2003-06-30,0.558365
2003-07-31,0.7645913043478261
2003-08-31,0.4405590909090909
2003-09-30,0.19788095238095238
2003-10-31,0.25154444444444446
2003-11-30,0.7426333333333334
2003-12-31,1.2806454545454544
2004-01-31,1.0655642857142857
2004-02-29,1.7340050000000002
2004-03-31,1.1460636363636363
2004-04-30,1.2966727272727274
2004-05-31,0.31365625
2004-06-30,0.2409272727272727
2004-07-31,0.28079565217391306
2004-08-31,0.15536190476190476
2004-09-30,0.5052772727272727
2004-10-31,0.24154705882352942
2004-11-30,0.40549999999999997
2004-12-31,0.1627695652173913
2005-01-31,0.343905
2005-02-28,0.4348923076923077
2005-03-31,0.6217260869565218
2005-04-30,0.3427863636363636
2005-05-31,0.33828749999999996
2005-06-30,0.4825
2005-07-31,0.8592863636363636
2005-08-31,1.8313545454545455
2005-09-30,2.130513636363636
2005-10-31,0.4054
2005-11-30,0.44704999999999995
2005-12-31,1.9534000000000002
2006-01-31,1.809125
2006-02-28,1.7062
2006-03-31,1.2161739130434783
2006-04-30,2.156104761904762
2006-05-31,3.513929411764706
2006-06-30,3.773059090909091
2006-07-31,1.4709857142857143
2006-08-31,1.0957695652173913
2006-09-30,2.46945
2006-10-31,3.1642687499999997
2006-11-30,1.4399636363636363
2006-12-31,3.8434
2007-01-31,5.511678947368421
2007-02-28,6.4434000000000005
2007-03-31,5.919986956521739
2007-04-30,7.475575000000001
2007-05-31,8.661872222222222
2007-06-30,6.365881818181818
2007-07-31,2.978066666666667
2007-08-31,4.272191304347826
2007-09-30,5.274580952380952
2007-10-31,2.337794117647059
2007-11-30,1.571690909090909
2007-12-31,2.3339190476190472
2008-01-31,3.70977619047619
2008-02-29,7.87903125
2008-03-31,7.968714285714285
2008-04-30,3.5729190476190476
2008-05-31,6.725933333333333
2008-06-30,3.2752578947368423
2008-07-31,3.7750565217391308
2008-08-31,1.8228045454545454
2008-09-30,2.299978947368421
2008-10-31,2.1460947368421053
2008-11-30,2.3277142857142854
2008-12-31,6.063522727272727
2009-01-31,3.0836375
2009-02-28,7.660915
2009-03-31,4.88367619047619
2009-04-30,5.360538095238095
2009-05-31,3.805594736842105
2009-06-30,3.3879619047619047
2009-07-31,5.003686956521739
2009-08-31,3.662861904761905
